"Warehouse Cafe" 834
"Big Chill" 772
"Out Of The Box" 650
"Saravana Bhavan" 624
"Pirates of Grill" 600
Starbucks 569
"Soi 7 Pub & Brewery" 558
"My Bar Lounge & Restaurant" 529
Nando's 515
"Andhra Bhavan" 497
"Hard Rock Cafe" 492
"White Waters" 491
"Rajinder Da Dhaba" 489
"Monkey Bar" 488
Gulati 486
"Downtown - Diners & Living Beer Cafe" 482
"Parikrama - The Revolving Restaurant" 469
"Pirates of Grill" 462
SodaBottleOpenerWala 456
"Bukhara - ITC Maurya" 449
"The All American Diner" 448
"Striker Pub and Brewery" 429
Wenger's 417
"Vapour Pub & Brewery" 415
"Barbeque Nation" 410
"Barbeque Nation" 405
"Khan Chacha" 396
"Barbeque Nation" 369
Berco's 363
Chili's 361
"Amour - The Patio Restaurant, Cafe & Bar" 360
"Route 04" 357
"Big Chill" 354
"Fork You" 351
Ardor 341
"Biryani Blues" 338
"The Pink Room" 324
Q'BA 324
"Cafe Delhi Heights" 322
"Chew - Pan Asian Cafe" 320
"Hauz Khas Social" 319
"Kake Da Hotel" 317
"The Flying Saucer Cafe" 314
"Dunkin' Donuts" 306
"Mia Bella" 303
"Big Yellow Door" 296
"The Wine Company" 288
"Yeti - The Himalayan Kitchen" 287
"Drool Kitchen" 286
"Nizam's Kathi Kabab" 282
"Boombox Cafe" 271
Imperfecto 267
"Club Rhino" 264
"The Colony Bistro" 256
"Elma's Bakery" 255
"Big Wong" 253
Raasta 252
"Lodi - The Garden Restaurant" 252
Naivedyam 251
"The Golconda Bowl" 251
Raas 250
"Cha Bar" 243
"Oh! Calcutta" 242
"United Coffee House" 240
 238
"FIO Country Kitchen and Bar" 237
"QD's Restaurant" 236
Nando's 236
"Manhattan Craft Brewery" 236
"Made In Punjab" 235
"Johnny Rockets" 232
Mamagoto 231
"Pind Balluchi" 230
"21 Gun Salute" 225
"Roots - Cafe In The Park" 220
"Farzi Cafe" 219
Rodeo 218
bluO 218
"Fresc Co" 217
"Big Chill" 216
"Saravana Bhavan" 216
"Sura Vie Lounge" 214
"Carnatic Cafe" 213
"The Joint Cafe" 213
"Gulati Spice Market" 211
"Dhaba By Claridges" 201
"Underdoggs Sports Bar & Grill" 201
"Al Bake" 199
"The Chatter House" 195
"Rajdhani Thali Restaurant" 193
"The Beer Cafe" 192
"Punjab Grill" 190
"The Potbelly Rooftop Cafe" 188
Zen 188
Mamagoto 186
"Indian Accent - The Manor" 184
"7 Degrees Brauhaus" 184
"Out Of The Box" 184
Veda 182
"Boombox Cafe" 181
"1 Cafe Lounge" 179
"Skooter - Hotel Samrat" 177
"Indian Grill Room" 174
"China Garden" 173
"Striker Pub and Kitchen" 173
"Purani Dilli's Al Karam Kebab House" 172
"Olive Bistro" 171
"Crusty Gourmet Pizzas & More" 171
Binge 170
SET'Z 169
"B Bar" 167
"The California Boulevard" 167
Ichiban 167
Geoffrey's 166
"Smoke House Deli" 164
"Punjab Grill" 161
"Pebble Street" 161
"Sweet Obsession" 160
"Smoke House Deli" 159
"Olive Bar & Kitchen" 156
"Route 04" 156
Zo 156
"1 Boulevard" 154
"Evergreen Sweet Shop" 154
"Al Bake" 153
"Hard Rock Cafe" 153
Culinaire 152
"Indian Coffee House" 152
Chonas 151
"Chez Nini" 150
"The Blue Door Cafe" 150
"Urban Cafe" 150
